kappa,rAB,rBC
4.832030e+11,6.161496e-06,1.000028e+00
2.166817e+03,3.265640e-13,6.636458e-08
3.022224e+06,3.646569e-11,7.728342e-01
5.400263e+09,1.530101e-06,9.999520e-01
1.909978e+04,1.112864e-12,7.084497e-04
1.525882e+05,7.864577e-12,4.472079e-01
4.058471e+04,2.521965e-12,1.569052e-02
3.709119e+11,2.854910e-05,1.000000e+00
3.192878e+04,8.705969e-12,4.559251e-03
1.191298e+05,2.460709e-12,2.830000e-02
1.993437e+06,8.975321e-11,1.944993e+00
9.790165e+03,5.873506e-13,1.917136e-04
2.994592e+05,3.165507e-11,3.929140e+00
2.478140e+05,1.094431e-11,1.847181e-01
1.477606e+03,9.344833e-15,2.170071e-06
1.134180e+12,8.189911e-06,1.334931e+00
5.893706e+04,2.290627e-12,1.108531e-04
2.972573e+05,2.843842e-12,8.300284e-02
8.740182e+03,2.048826e-14,1.484901e-04
5.990672e+11,1.072271e-04,1.000000e+00
1.936619e+07,5.628454e-10,9.953609e-01
2.467300e+02,1.851602e-14,6.651934e-07
2.016282e+05,1.990132e-11,3.827169e-02
4.761529e+03,2.346749e-13,3.831371e-04
3.514830e+04,4.588405e-12,1.058346e-02
1.497278e+03,1.164354e-13,1.554461e-07
2.740646e+07,3.902523e-09,9.702802e-01
3.479057e+05,1.184736e-11,1.091788e-03
9.517909e+03,9.940492e-14,2.314846e-05
7.031018e+03,1.013777e-13,1.401875e-04
6.574246e+03,5.163969e-13,6.881504e-05
2.036066e+04,2.231187e-13,7.234913e-05
1.180717e+03,4.890994e-14,2.796792e-06
2.314771e+02,6.479229e-14,8.533588e-08
4.140673e+06,1.871033e-10,9.614983e-01
3.741209e+02,1.853208e-15,2.505506e-07
3.409148e+02,1.000460e-13,2.468313e-07
6.056085e+00,4.481370e-16,1.487800e-11
1.256873e+09,2.241732e-07,9.998461e-01
7.393844e+05,5.967901e-11,3.582292e-01
6.128397e+04,2.906887e-12,7.637188e-03
6.122700e+05,1.217708e-10,9.888143e-01
2.357451e+02,5.855843e-14,9.317647e-08
6.145172e+04,3.530596e-12,5.229042e-03
3.039667e+06,8.514021e-11,2.645604e+00
1.218766e+05,3.636788e-12,2.683647e-02
2.547082e+06,7.860622e-11,1.289568e+00
6.978066e+10,6.818356e-07,1.000013e+00
9.289246e+10,1.964984e-05,1.000001e+00
1.589447e+05,2.948430e-12,1.413297e-02
1.231844e+06,2.517389e-11,2.392553e-03
7.022160e+06,1.919880e-09,1.502261e+01
5.778061e+03,1.216875e-14,3.113729e-04
2.013823e+02,3.505333e-14,8.146361e-08
1.227694e+07,3.589718e-10,9.351733e-01
2.326296e+06,8.992092e-12,9.827769e-01
2.791075e+01,8.558526e-16,1.444290e-09
9.097762e+09,1.069344e-06,4.176387e+01
1.197225e+04,2.480102e-12,7.691067e-04
2.695517e+11,1.058707e-08,1.000000e+00
5.643582e+06,3.033898e-10,8.962982e-01
3.430420e+03,3.960189e-13,2.339679e-05
2.061608e+10,4.194182e-07,1.000015e+00
4.597594e+04,2.070473e-12,4.347771e-02
1.281052e+04,1.118861e-13,8.963438e-05
1.873680e+03,1.189706e-13,6.061125e-06
1.086767e+03,1.573067e-14,2.354590e-06
7.806475e+01,1.035178e-14,1.063139e-08
7.645681e+04,2.382226e-12,3.530977e+00
2.015515e+09,1.644978e-07,9.999297e-01
5.578912e+04,3.020077e-12,2.236096e-02
1.654508e+10,8.859255e-07,3.096372e-01
4.881636e+07,2.984015e-10,9.533108e-01
1.029815e+10,9.098742e-07,9.999813e-01
2.576345e+04,2.909873e-12,8.799397e-05
5.497305e+02,2.636826e-15,3.348998e-07
3.549900e+05,1.137877e-11,9.539027e+00
7.984135e+10,7.785906e-06,1.000019e+00
1.549250e+06,6.661744e-11,4.280405e-01
3.341749e+03,4.527955e-14,2.000347e-05
1.633462e+06,8.738145e-11,7.689047e-01
7.119601e+05,3.742837e-11,5.211998e-01
1.887450e+02,3.559906e-14,6.186818e-08
2.291102e+04,5.059036e-13,1.024248e-03
1.247478e+11,5.025763e-06,1.000002e+00
6.794170e+04,8.792294e-12,3.983404e-03
8.944931e+06,5.210133e-10,9.348736e-01
2.492565e+06,4.544995e-11,5.280043e-01
1.320963e+13,1.460871e-03,1.000000e+00
3.447021e+02,7.204408e-14,1.242072e-07
1.276965e+02,1.415853e-15,2.656309e-08
1.100471e+03,1.578804e-14,1.760232e-06
1.553956e+10,1.937713e-08,9.997639e-01
1.719054e+05,1.785312e-12,8.040922e-03
4.141147e+06,6.888474e-10,1.107018e+01
6.269748e+10,1.067851e-07,9.999525e-01
3.355518e+11,5.407290e-05,9.999999e-01
3.420961e+05,2.464446e-11,1.003100e+00
4.033520e+03,8.430517e-14,2.631923e-05
1.559747e+03,1.234060e-13,3.500340e-06
8.561560e+10,3.759682e-06,1.273416e+03
3.686685e+06,3.134167e-11,8.881120e-01
2.941042e+05,3.140222e-11,2.902899e+00
2.721861e+05,6.723935e-12,1.091971e-01
1.475540e+05,2.910577e-11,4.755699e-01
1.023190e+06,1.877078e-11,7.676918e-01
2.743170e+01,1.194976e-14,2.729477e-09
1.074093e+12,9.593990e-06,9.999999e-01
3.737359e+10,3.636219e-06,2.481040e+01
2.783986e+05,4.704111e-11,2.135623e-01
1.835386e+10,5.233273e-07,9.999714e-01
3.078620e+03,7.609403e-13,3.060766e-05
2.194179e+01,6.888447e-16,8.336674e-10
7.838280e+03,3.156404e-13,1.585649e-06
1.949706e+04,1.257243e-12,6.114951e-04
3.102072e+03,7.276986e-14,2.426910e-05
2.050289e+01,5.561488e-15,3.544822e-09
2.058484e+13,1.596805e-03,1.000000e+00
2.783489e+09,1.836344e-07,9.997289e-01
3.349528e+02,3.182454e-14,1.978705e-07
3.467953e+10,1.145671e-06,9.999629e-01
9.033069e+02,2.077212e-14,6.435140e-07
1.212459e+02,6.391306e-15,3.970047e-09
2.441390e+05,3.739406e-11,4.698657e-02
6.977305e+03,1.451637e-13,6.065307e-05
2.444704e+06,3.891727e-10,1.879173e+00
1.003765e+05,2.030123e-11,4.277113e-01
2.907421e+07,1.096009e-09,9.683623e-01
9.404984e+04,4.171198e-12,3.402663e-03
4.107057e+02,1.756855e-14,3.248402e-09
8.807822e+00,2.510788e-16,2.875568e-11
3.709129e+03,2.113350e-12,1.187571e-04
5.167358e+00,1.512317e-16,6.995232e-11
1.020554e+04,2.612128e-12,1.084845e-03
4.152117e+02,1.235922e-14,1.024135e-09
9.118192e+04,5.377786e-12,2.095908e-01
1.088142e+02,1.328424e-15,1.000345e-09
1.554083e+05,1.091176e-11,5.166195e-02
3.905677e+06,2.821654e-11,8.965536e-01
1.837418e+11,1.273286e-06,1.000018e+00
1.457371e+09,3.303166e-08,9.997821e-01
2.529672e+04,6.588523e-13,8.462826e-04
6.599618e+04,3.244593e-13,6.957602e-03
1.626782e+02,1.599866e-14,1.495999e-07
2.285553e+05,1.534819e-12,1.923269e-01
6.467093e+06,3.685182e-11,5.036732e-01
3.887940e+04,3.196307e-12,9.202626e-03
6.027662e+01,1.574686e-15,6.357027e-09
1.461052e+01,7.081757e-16,3.788883e-10
1.153838e+05,8.792503e-12,3.800662e-02
1.224858e+06,1.302694e-10,1.468565e+00
6.286019e+05,2.388318e-11,1.570780e-01
2.881100e+04,4.327454e-13,1.325214e-03
1.208679e+10,2.545279e-06,9.999653e-01
4.247437e+05,5.905692e-11,7.521332e-01
9.482786e+05,6.443073e-10,1.000543e+00
1.840659e+07,1.275056e-09,9.942486e-01
1.539985e+06,8.109703e-11,6.891593e-01
1.891469e+04,1.379772e-12,2.857777e-03
1.290044e+05,3.020236e-11,7.026679e-01
4.725064e+10,8.817821e-09,1.000014e+00
6.513409e+03,4.897031e-13,1.710196e-05
4.433173e+01,8.300440e-16,4.728449e-10
1.402048e+11,2.227599e-07,9.999784e-01
1.662483e+05,9.209435e-12,5.884411e-02
7.319382e+10,2.296426e-07,1.000071e+00
2.973573e+09,1.889236e-16,9.993645e-01
4.737573e+03,8.200361e-13,3.744955e-04
2.338276e+09,2.687501e-07,9.999775e-01
1.927282e+10,3.038787e-06,1.000018e+00
3.360826e+03,2.495315e-13,8.094401e-05
1.242823e+04,6.030101e-13,3.097330e-04
1.469209e+03,7.298976e-15,4.418716e-06
4.329423e+07,8.859149e-10,9.479589e-01
1.620459e+03,3.321056e-14,7.966695e-06
2.269778e+05,1.100949e-12,2.790916e-01
1.229785e+06,2.509418e-11,1.388807e+00
4.699929e+09,1.403749e-07,9.999590e-01
2.441619e+02,3.155080e-15,3.289136e-08
8.475362e+05,1.289216e-10,8.160907e-01
3.128343e+03,9.612987e-14,1.866857e-05
8.217148e+09,9.898252e-08,9.998755e-01
1.008661e+14,2.542840e-02,1.000000e+00
9.504913e+03,3.604756e-13,2.770669e-04
3.125056e+04,1.654881e-12,1.871891e-03
2.405677e+01,2.454907e-15,4.460894e-10
5.162064e+02,7.657250e-15,1.054722e-07
5.157965e+05,6.772717e-11,7.041686e+00
1.531231e+02,2.107769e-14,4.046863e-08
1.798258e+06,3.538953e-11,6.536874e+00
7.067125e+03,1.339153e-12,9.868809e-05
5.316812e+02,6.615439e-15,6.746969e-07
2.890086e+11,2.816799e-05,1.000000e+00
4.971275e+07,8.589388e-11,9.904698e-01
5.709318e+11,2.566854e-06,1.000000e+00
1.594119e+06,1.469022e-10,1.189457e+00
9.287130e+11,6.961246e-06,1.000005e+00
4.291774e+03,2.578518e-13,8.950073e-05
3.281989e+10,6.080134e-06,1.000002e+00
5.019555e+10,2.364153e-07,9.999402e-01
4.695813e+06,1.440256e-10,1.310981e+01
5.701121e+05,1.048440e-11,7.020062e-01
1.326460e+04,2.914737e-13,1.313656e-03
7.170429e+04,5.006605e-13,9.742541e-03
1.218141e+01,1.175951e-15,8.426688e-11
1.188681e+01,3.575922e-16,3.618225e-10
3.688242e+06,2.964603e-10,9.626463e-01
5.816101e+09,9.616688e-07,9.999574e-01
6.601100e+00,1.053262e-15,2.414399e-10
1.967841e+05,5.513473e-12,4.352979e-05
1.037380e+03,3.393223e-14,2.414190e-07
9.341259e+02,4.942041e-15,1.737417e-06
2.831283e+07,4.571299e-09,1.000083e+00
9.906222e+04,1.067589e-11,8.659400e-03
4.819790e+05,9.092357e-12,9.295419e-01
2.970368e+03,2.386107e-14,8.602259e-06
4.806616e+01,5.942744e-16,4.802715e-09
1.759053e+09,9.518631e-09,9.999140e-01
6.431503e+01,9.314870e-15,7.700559e-09
1.125715e+04,5.129834e-12,9.962857e-04
8.562782e+01,3.012147e-15,5.433225e-09
3.126188e+04,1.278369e-12,1.948487e-03
6.877163e+05,1.933829e-11,4.766379e-01
4.603649e+05,3.399352e-12,2.209257e+01
1.079122e+06,6.033540e-12,3.024310e-01
7.080104e+02,1.016750e-13,2.327256e-07
3.570204e+01,3.023419e-15,5.283562e-10
4.273248e+03,3.300535e-13,2.992811e-05
1.938676e+04,8.286917e-14,7.514706e-04
1.587196e+11,1.484759e-05,1.000000e+00
1.998268e+03,5.366123e-13,6.053501e-07
6.880603e+01,9.762563e-16,2.665535e-09
2.279471e+02,1.395705e-14,9.492507e-08
8.950106e+04,1.323461e-12,1.897257e-02
2.357538e+01,1.552194e-15,8.667806e-11
2.848438e+03,1.713232e-14,1.321379e-05
2.463963e+10,3.791308e-07,1.543461e-01
1.958064e+10,6.015153e-08,9.998350e-01
2.071985e+02,2.298937e-14,8.740331e-08
9.693123e+05,1.105793e-11,8.616209e-01
8.402273e+05,3.025187e-11,5.821465e-01
1.953270e+06,3.190560e-11,8.499636e-01
2.233033e+01,1.587769e-15,4.806278e-09
1.260081e+04,2.274625e-12,3.060144e-04
9.585831e+01,7.705737e-15,1.735278e-08
2.749956e+04,2.081807e-12,1.494334e-03
2.591028e+05,2.791892e-11,1.590123e+00
2.207855e+06,2.341421e-11,9.147669e-01
4.332971e+09,7.032052e-07,9.999649e-01
8.751363e+04,2.744621e-12,4.394619e+00
3.437938e+09,4.585962e-07,1.000011e+00
2.208157e+01,1.570199e-15,1.818003e-09
5.297443e+02,4.097274e-14,5.323444e-07
3.434014e+03,1.634733e-13,2.116421e-05
8.965798e+02,1.425585e-13,3.974518e-06
1.365689e+12,2.624186e-06,5.894264e+01
5.487415e+04,4.260058e-12,3.711857e-03
7.988414e+04,4.686322e-12,1.156948e-02
9.054710e+11,5.612204e-06,1.000001e+00
4.382693e+05,1.855025e-11,9.678773e-02
3.299479e+05,3.167550e-11,8.564726e+00
1.033487e+04,1.893531e-13,1.172051e-04
9.206942e+11,6.183126e-05,4.526163e+00
4.191883e+07,2.925819e-09,9.802688e-01
5.671768e+02,1.337033e-14,3.292099e-07
7.518433e+10,1.747516e-07,1.315685e-01
2.030925e+05,8.367333e-12,6.302899e-01
2.632032e+02,1.602178e-14,1.017807e-07
5.101982e+05,1.845631e-11,3.150659e-01
3.052975e+10,9.142054e-07,9.999672e-01
1.903410e+05,3.299131e-12,1.012876e-01
